ORIG1:     Heute ist Lea’s Geburtstage. 
ORIG2: 	    Sie haben ein Geburtstagstorte auf dem tisch. 
ORIG3:      Das Geburtstagstorte haben 9/neun Kerzen. 
ORIG4:	    So Ich glaube sie ist neun Jetzt. 
ORIG5: 	    Sie bekommt ein Geschenk vom Lars wem ist lea’s Freund. 
ORIG6:      Dieser zwei hat getragen der Geschenk zu ein andere zimmer weil Sie will auspacken das Geschenke vom lars. 
ORIG7:       Später wann sie hat machen der Geschenk aus, Lea bekommt Große Augen. 
ORIG8:       lea wartte nicht so sie renner drauß weil sie haben ein neue Drachen. 
ORIG9:       Lea und Lars hat entscheiden dass ihr lassen der Lendrachen stiegen aber heute hast viel Sonnen 
ORIG10:      Trotzdem es gibt viel wind auch. 
ORIG11:     Lars halten so der drachen Kommes zu dem Fest. 
ORIG12:     Unglucklicherweise ihr hat gelossen der drachen. 
ORIG13:     15 Minuten Später lea hat gefunden und denn mit den Finger auf dem baum 
ORIG14:    Lars hat auch gefunden.
