Hala Alhamoud	Woche 8 (Verlust)	Datum 08.12.2020

ORIG1:    Es ist langweiliger Tag. 
ZIELHYP: Es ist ein langweiliger Tag.
ORIG2: 	   Lea ist sehr traurig, weil sie Dodo verloren hat. 
ZIELHYP:  Lea ist sehr traurig, weil sie Dodo verloren hat.
ORIG3:     Sie hat eine Idee. 
ZIELHYP:  Sie hat eine Idee. 
ORIG4:	    Sie klebt den Aushangzettel an die Wand. 
ZIELHYP:   Sie klebt den Aushangzettel an die Wand. 
ORIG5:      Damit wenn jemend Dodo sieht, ruft Lea an. 
ZIELHYP:   Damit, wenn jemand Dodo sieht, er Lea anruft.
ORIG6:       Danach ist sie Fertig. und sie wartet jemend ruft sie an. 
ZIELHYP:    Danach ist sie fertig und wartet, dass jemand sie anruft.
ORIG7:       Als sie plötzlich die Hoffnung verlor, rief sie Lars an. 
ZIELHYP:     Als sie plötzlich die Hoffnung verlor, rief Lars sie an. 
ORIG8:        Und erzählt er Lea Doda beimir. 
ZIELHYP:     Und er erzählt Lea: „Dodo ist bei mir.“
ORIG9:        Dann bellt sie. 
ZIELHYP:     Dann beeilt sie sich. 
ORIG10:      Danach wartet sie Begeistert auf Dodo und Lars. 
ZIELHYP:     Danach wartet sie begeistert auf Dodo und Lars.
ORIG11:      Wenn Lars an der Tür klingt, springt Lea auf das Fensterbrett. 
ZIELHYP:     Als Lars an der Tür klingelt, springt Lea auf das Fensterbrett.
ORIG12:      Und freut sie sich sehr.
ZIELHYP:     Und sie freut sich sehr.
ORIG13:      während sie umarmen, droht Lars Dodo mit dem Finger.
ZIELHYP:     Während sie sich umarmen, droht Lars Dodo mit dem Finger.
ORIG14:      Dodo kugt Lars nicht, und isst. 
ZIELHYP:     Dodo guckt Lars nicht und isst. 
ORIG15:      Lars ist sehr nett er bringt mit sich einen Stielbonbon. 
ZIELHYP:     Lars ist sehr nett, er bringt mit sich einen Stielbonbon. 
ORIG16:      Danach freuen sie sich.
ZIELHYP:     Danach freuen sie sich.

